Chapter,ID,CharacterName,Portrait,DialogueBox,Text,Side,Voice
1,25,店長,BossOctopus_04,BossOctopus_DialogueBox_00,(迅速的用觸手保富著自己的腦袋),L,
1,26,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,你們兩個別再鬧了，等等就要營業了沒時間吵架了,L,
1,27,真白,White_00,White_DialogueBox_00,"也是，沒時間跟 ""臭章魚"" 吵架",L,
1,28,店長,BossOctopus_04,BossOctopus_DialogueBox_01,"你說誰 ""臭章魚"" 啊!臭小鬼",R,
1,29,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,店長!,L,
1,30,店長,BossOctopus_00,BossOctopus_DialogueBox_01,我知道了，我不跟他吵了,R,
1,31,真白,White_00,White_DialogueBox_01,(偷笑),R,
1,32,紅咲,HONGXIAO_03,HONGXIAO_DialogueBox_00,真白...,L,
1,33,真白,White_01,White_DialogueBox_01,抱歉,R,
1,34,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,所以店長你怎麼了，今天一直待在辦公室裡不出來,L,
1,35,店長,BossOctopus_00,BossOctopus_DialogueBox_01,啊…也沒什麼就在煩惱一些事情。,R,
1,36,真白,White_00,White_DialogueBox_00,真難得章魚也會煩惱，看來真的病了,L,
1,37,店長,BossOctopus_00,BossOctopus_DialogueBox_01,說的我好像沒煩惱的樣子，\n小孩子怎麼會明白大人的煩惱,R,
1,38,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,究竟是甚麼樣的大事讓店長如此懊惱,L,
1,39,店長,BossOctopus_00,BossOctopus_DialogueBox_01,也沒什麼，只是之前想做但沒做的事差不多能執行了,R,
1,40,真白,White_02,White_DialogueBox_00,搞的那麼神秘，到底是甚麼事情!,L,
1,41,店長,BossOctopus_00,BossOctopus_DialogueBox_01,等今天營業結束你們來辦公室再說,R,
1,42,真白,White_02,White_DialogueBox_01,搞甚麼神秘啊!,R,
1,43,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,雖然不知道店長想做甚麼，\n但現在我們只能繼續去忙了,L,
1,44,真白,White_00,White_DialogueBox_01,也是現在只能先把完成工作，\n到時再看看他想搞甚麼鬼,R,
1,45,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,話說妳還記得所有流程及烹飪台的使用嗎?,L,
1,46,真白,White_01,White_DialogueBox_01,我來這裡工作的時間沒多久，\n還不太熟悉一些流程及操作,R,
1,47,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,還有點時間讓我們來複習一下流程操作吧!,L,
1,48,真白,White_00,White_DialogueBox_01,還要再麻煩妳了,R,
2,１,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,接下來，我們將學習基本的操作流程,L,
2,２,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,那首先我們先點擊＂開始營業＂的按鈕吧!,L,
3,１,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,我們現在正處於營業中的狀態，\n正常來說會陸陸續續出現飢腸轆轆的顧客們,L,
3,２,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,但這是教學演示所以不用擔心,L,
3,３,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,那我們先學習如何使用烹飪台製作料理吧!,L,
3,４,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,"使用 ""WASD"" 進行移動，\n移動到到帶著紅色"" ! ""號的烹飪台前",L,
4,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"要使用烹飪台指需要對他按下"" E "" 就能使用",L,
5,1,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,與烹飪台互動後將進行料理製作，\n製作過程並不複雜只需照著烹飪台\n下方的箭頭按下對應的案件就行囉!,L,
5,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,上 = W、下 = S\n左 = A、右 = D ,L,
6,1,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,恭喜你成功製作一道料理，\n看起來十分的美味呢!,L,
6,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,製作好的料理將會在下方餐盤中顯示,L,
6,3,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,要注意餐盤最多只能放最多2個物品喔!,L,
6,4,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,要試想清摳餐盤的話，可以到垃圾桶處理,L,
6,5,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,接下來讓我們到油炸鍋製作薯條吧!,L,
6_1,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,啊啞啞!料理製作失敗，只能把她處理掉了呢!,L,
6_1,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,到垃圾桶前將它處理掉吧!,L,
6_2,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"在垃圾桶前按下""E""就能丟棄餐盤上的所有東西",L,
6_2,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,"要注意!\n ""是一口氣將餐盤上的東西都丟棄製垃圾桶""",L,
6_3,1,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,終於將垃圾處理好了，\n讓我們繼續嘗試製作出料理吧,L,
6_4,1,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,餐盤滿了，這樣無法再拿取新的物品，\n需要到垃圾桶前移除餐盤上的物品才能獲取新物品,L,
7,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,薯條也是同樣的作法，\n試試做出一份薯條吧!,L,
8,1,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,恭喜妳學會如何製作料理了,L,
8,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,接下來，讓我們試試依照顧客的\n需求上對應的餐點吧!,L,
8,3,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,我剛剛從外面請來一些路人作為我們練習的對象,L,
8,4,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,讓我們看看他們需要甚麼吧!,L,
9,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,顧客到收銀台時，會在畫面左下方顯示他的訂單,L,
9,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,要注意收銀台最多只能接四個訂單，而在收銀檯前第一位顧客的訂單會高量顯示喔!,L,
9,3,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"只要你的餐盤中有與第一位顧客訂單相同的料理，在收銀檯前按下"" E ""就能將該料理給予這位顧客",L,
9,4,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,試試完成第一位顧客的訂單吧!,L,
10,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,這位顧客想一杯飲料,L,
10,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,飲料機就在收銀台的後方，\n飲料機的操作方式和烹飪台一樣,L,
10,3,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,製作一杯飲料給這位顧客吧!,L,
11,1,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,糟糕!這位顧客的已經沒什麼耐心了，\n要是顧客耐心為0就會離開餐廳,L,
11,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,使用角色卡來回復顧客的耐心吧!,L,
11,3,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,點擊右下方角色卡使用卡片能力,L,
12,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,顧客的耐心回復了,L,
12,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,每個角色卡都有屬於自己的獨特能力，\n在對的時機使用能讓你應付一些緊急情況,L,
13,1,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,恭喜妳學會營業的基礎操作了!,L,
13,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,那麼讓我們進入實戰吧!,L,
13,3,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,試試在歇業前盡可能地完成多名顧客訂單吧!,L,
13_1,1,真白,White_02,White_DialogueBox_00,這是怎麼回事!,R,
13_1,2,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,這是!這是食材正處變異暴走,L,
13_1,3,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,陷入變異暴走的食材會變得難以料理,L,
13_1,4,真白,White_02,White_DialogueBox_03,難以料理，別開玩笑我才不會輸給這些無理取鬧的食材,R,
13_1,5,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,那要注意，有些變異會使原本製作料理的邏輯改變。,L,
13_1,6,真白,White_02,White_DialogueBox_03,收到，看我怎麼料理料理他們,R,
13_2,1,真白,White_01,White_DialogueBox_00,成功了,R,
13_2,1,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,太厲害了! 沒想到真白你能成功料理陷入變異暴走的食材,L,
13_2,2,真白,White_00,White_DialogueBox_00,這沒什麼，雖然難纏了點，\n但我說過了我才不會輸給這些無理取鬧的食材,R,
13_2,3,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,變異食材雖然難料理，但也會激發食材的潛能,L,
13_2,4,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,將變異食材製成的料理給顧客也會有較好的價錢喔!,L,
14,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,看樣子烹飪台沒有能量了,L,
14,2,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,沒有能量的烹飪台是無法使用的,L,
14,3,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,這時就需要到冰箱拿補給回復能量,L,
14,4,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"到冰箱前按下"" E ""拿取補給",L,
14_1,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"拿到補給後到需要的烹飪台前按"" E ""互動，\n就能消耗補給回復能量",L,
14_2,1,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,注意! 補給是大件物品餐盤必須淨空才能獲取,L,
