Chapter,ID,CharacterName,Portrait,DialogueBox,Text,Side,Voice
1,25,店長,BossOctopus_04,BossOctopus_DialogueBox_00,(迅速的用觸手保富著自己的腦袋),L,
1,26,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,你們兩個別再鬧了，等等就要營業了沒時間吵架了,L,
1,27,真白,White_00,White_DialogueBox_00,"也是，沒時間跟 ""臭章魚"" 吵架",L,
1,28,店長,BossOctopus_04,BossOctopus_DialogueBox_01,"你說誰 ""臭章魚"" 啊!臭小鬼",R,
1,29,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,店長!,L,
1,30,店長,BossOctopus_00,BossOctopus_DialogueBox_01,我知道了，我不跟他吵了,R,
1,31,真白,White_00,White_DialogueBox_01,(偷笑),R,
1,32,紅咲,HONGXIAO_03,HONGXIAO_DialogueBox_00,真白...,L,
1,33,真白,White_01,White_DialogueBox_01,抱歉,R,
1,34,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,所以店長你怎麼了，今天一直待在辦公室裡不出來,L,
1,35,店長,BossOctopus_00,BossOctopus_DialogueBox_01,啊…也沒什麼就在煩惱一些事情。,R,
1,36,真白,White_00,White_DialogueBox_00,真難得章魚也會煩惱，看來真的病了,L,
1,37,店長,BossOctopus_00,BossOctopus_DialogueBox_01,說的我好像沒煩惱的樣子，\n小孩子怎麼會明白大人的煩惱,R,
1,38,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,究竟是甚麼樣的大事讓店長如此懊惱,L,
1,39,店長,BossOctopus_00,BossOctopus_DialogueBox_01,也沒什麼，只是之前想做但沒做的事差不多能執行了,R,
1,40,真白,White_02,White_DialogueBox_00,搞的那麼神秘，到底是甚麼事情!,L,
1,41,店長,BossOctopus_00,BossOctopus_DialogueBox_01,等今天營業結束你們來辦公室再說,R,
1,42,真白,White_02,White_DialogueBox_01,搞甚麼神秘啊!,R,
1,43,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,雖然不知道店長想做甚麼，\n但現在我們只能繼續去忙了,L,
1,44,真白,White_00,White_DialogueBox_01,也是現在只能先把完成工作，\n到時再看看他想搞甚麼鬼,R,
1,45,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,話說妳還記得所有流程及烹飪台的使用嗎?,L,
1,46,真白,White_01,White_DialogueBox_01,我來這裡工作的時間沒多久，\n還不太熟悉一些流程及操作,R,
1,47,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,還有點時間讓我們來複習一下流程操作吧!,L,
1,48,真白,White_00,White_DialogueBox_01,還要再麻煩妳了,R,
2,１,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,接下來，我們將學習基本的操作流程,L,
2,２,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,那首先我們先點擊＂開始營業＂的按鈕吧!,L,
3,１,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,我們現在正處於營業中的狀態，\n正常來說會陸陸續續出現飢腸轆轆的顧客們,L,
3,２,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,但這是教學演示所以不用擔心,L,
3,３,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,那我們先學習如何使用烹飪台製作料理吧!,L,
3,４,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,"使用 ""WASD"" 進行移動，\n移動到到帶著紅色"" ! ""號的烹飪台前",L,
4,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"要使用烹飪台指需要對他按下"" E "" 就能使用",L,
5,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,與烹飪台互動後將進行料理製作，\n製作過程並不複雜只需照著烹飪台\n下方的箭頭按下對應的案件就行囉!,L,
5,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,"""上 = W、下 = S\nA = 左、D = 右 ""\n試試看成功烹飪出一個料理吧!",L,
6,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,恭喜你成功製作一道料理，看起來真美味呢!,L,
6,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,製作好的料理將會在下方餐盤中顯示,L,
6,3,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,接著我們到油炸鍋製作薯條吧!,L,
6_1,1,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,啊啞啞!這道料理真糟糕只能丟掉了,L,
6_1,2,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,到垃圾桶前將它處理好吧!,L,
